#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.12400000   0.00000000
  0.00000000   6.12400000   0.00000000
  0.00000000   2.45063575   0.00000000
301.56600813   2.45063575   0.00000000
301.56600813   2.73110595   0.00000000
347.96005701   2.73110595   0.00000000
347.96005701   6.49620000   0.00000000
883.08872622   6.49620000   0.00000000
883.08872622  -3.20614422   0.00000000
936.80654503  -3.20614422   0.00000000
936.80654503   3.09275963   0.00000000
960.49053825   3.09275963   0.00000000
960.49053825   2.07000000   0.00000000
970.49053825   2.07000000   0.00000000
