#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.04799321   0.00000000
  0.00000000   6.04799321   0.00000000
  0.00000000   4.61343705   0.00000000
 50.37958603   4.61343705   0.00000000
 50.37958603   6.43670745   0.00000000
607.73835775   6.43670745   0.00000000
607.73835775  -2.47281035   0.00000000
660.24909761  -2.47281035   0.00000000
660.24909761   3.40496978   0.00000000
680.67085314   3.40496978   0.00000000
680.67085314   2.07000000   0.00000000
690.67085314   2.07000000   0.00000000
