#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.04800000   0.00000000
  0.00000000   6.04800000   0.00000000
  0.00000000   1.71842971   0.00000000
279.37550280   1.71842971   0.00000000
279.37550280   6.43700000   0.00000000
845.90707515   6.43700000   0.00000000
845.90707515  -2.72915105   0.00000000
897.92454789  -2.72915105   0.00000000
897.92454789   2.77547985   0.00000000
927.55937158   2.77547985   0.00000000
927.55937158   2.07000000   0.00000000
937.55937158   2.07000000   0.00000000
