#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.24053463   0.00000000
  0.00000000   6.24053463   0.00000000
  0.00000000   4.43730587   0.01129851
174.37592785   4.43730587   0.01129851
174.37592785   0.27640357   0.01780854
206.04834602   0.27640357   0.01780854
206.04834602   6.52496174   0.00000000
774.19428010   6.52496174   0.00000000
774.19428010  -1.41915299   0.00000000
827.81536365  -1.41915299   0.00000000
827.81536365   2.87899819   0.00000000
851.32861771   2.87899819   0.00000000
851.32861771   2.07000000   0.00000000
861.32861771   2.07000000   0.00000000
